filepath,cddd,smiles
../drug-diffuser-0717/datasets/LactMed/Methscopolamine Bromide.jpg,,C[N+]1=C2C(O)CC1C1CC2C(CC(=O)C(CO)c2ccccc2)O1
../drug-diffuser-0717/datasets/LactMed/Teriflunomide.jpg,,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
../drug-diffuser-0717/datasets/LactMed/Azathioprine.jpg,,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
../drug-diffuser-0717/datasets/LactMed/Moxidectin.jpg,,CON=C1CC2(C)C(CC(OC3C=C(C)C(C)=CC3)CC3OC(=O)C(C)=CC=CC(C)CCC(C)C(O)CC13)OC(C)C(C)C2O
../drug-diffuser-0717/datasets/LactMed/deucravacitinib.jpg,,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC
../drug-diffuser-0717/datasets/LactMed/Phenytoin.jpg,,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
../drug-diffuser-0717/datasets/LactMed/methylnaltrexone.jpg,,CC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C(O5)C1=O
../drug-diffuser-0717/datasets/LactMed/Ethambutol.jpg,,CCC(CO)NCCNC(CC)CO
../drug-diffuser-0717/datasets/LactMed/Olaparib.jpg,,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
../drug-diffuser-0717/datasets/LactMed/Riluzole.jpg,,Nc1nc2ccc(OC(F)(F)F)cc2s1
../drug-diffuser-0717/datasets/LactMed/Eravacycline.jpg,,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4CC3CC12
../drug-diffuser-0717/datasets/LactMed/Mesoridazine.jpg,,CN1CCCCC1CCN1c2ccccc2[SH](C)c2ccc(S(C)=O)cc21
../drug-diffuser-0717/datasets/LactMed/eplerenone.jpg,,COC(=O)C1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)CC12O
../drug-diffuser-0717/datasets/LactMed/Pancuronium.jpg,,CC(=O)OC1CCC2(C)C(OC(C)=O)CC3C4CCC([N+]5(C)CCCCC5)C4CC([N+]4(C)CCCCC4)C3(C)C2C1
../drug-diffuser-0717/datasets/LactMed/Duloxetine.jpg,,CNCCC(Oc1cccc2ccccc12)c1cccs1
../drug-diffuser-0717/datasets/LactMed/Vigabatrin.jpg,,C=CC(N)CCC(=O)O
../drug-diffuser-0717/datasets/LactMed/ibrexafungerp.jpg,,CC(C)C1(O)CCC2C3(C)C=CC4=C(COC4)C3CC3(c4ncnn4C(C)(C)C)CCC(c4ccccc4C(=O)O)C3(C)C21C
../drug-diffuser-0717/datasets/LactMed/Pibrentasvir.jpg,,COC(=O)NC(C(=O)OC)c1ccc(-c2nc(C3CCc4ccccc43)nc(N3CCCC3c3c[nH]c(NC(C)C4CC4)c3)c2F)c(OC)c1
../drug-diffuser-0717/datasets/LactMed/Heparin.jpg,,CC(=O)C1OC(OC2C(O)C(O)C(OS(=O)(=O)O)C(O)C2OS(=O)(=O)O)OC1C1OC(C(=O)O)C(O)C(O)C1(O)C(=O)O
../drug-diffuser-0717/datasets/LactMed/Diatrizoate.jpg,,CC(=O)Nc1c(I)c(I)c(NC(C)=O)c(C(=O)O)c1I
../drug-diffuser-0717/datasets/LactMed/Arsenic Trioxide.jpg,,CC1(C)C[S+]2CC(O1)C(O[P+]1([O-])OCC3(CO1)OC3=O)C2
../drug-diffuser-0717/datasets/LactMed/Testosterone.jpg,,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
